datetime,date,time,price,volume
20220225 150136,20220225,150136,11.5,1
20220225 150136,20220225,150136,11.5,1
20220225 150141,20220225,150141,11.5,2
20220225 150141,20220225,150141,11.5,2
20220225 150155,20220225,150155,11.5,1
20220225 150155,20220225,150155,11.5,1
20220225 150201,20220225,150201,12.0,10
20220225 150201,20220225,150201,12.0,10
20220225 150226,20220225,150226,13.0,1
20220225 150226,20220225,150226,13.0,1
20220225 150235,20220225,150235,13.0,2
20220225 150235,20220225,150235,13.0,2
20220225 150256,20220225,150256,13.0,5
20220225 150256,20220225,150256,13.0,5
20220225 150306,20220225,150306,12.5,1
20220225 150306,20220225,150306,12.5,1
20220225 150334,20220225,150334,13.0,2
20220225 150334,20220225,150334,13.0,1
20220225 150334,20220225,150334,13.0,1
20220225 150356,20220225,150356,12.0,1
20220225 150356,20220225,150356,12.0,1
20220225 150400,20220225,150400,12.0,3
20220225 150400,20220225,150400,12.0,1
20220225 150400,20220225,150400,12.0,2
20220225 150410,20220225,150410,12.0,3
20220225 150410,20220225,150410,12.0,1
20220225 150410,20220225,150410,12.0,1
20220225 150410,20220225,150410,12.0,1
20220225 150426,20220225,150426,12.0,5
20220225 150426,20220225,150426,12.0,1
20220225 150426,20220225,150426,12.0,2
20220225 150426,20220225,150426,12.0,1
20220225 150426,20220225,150426,12.0,1
20220225 150429,20220225,150429,12.0,1
20220225 150429,20220225,150429,12.0,1
20220225 150433,20220225,150433,12.0,3
20220225 150433,20220225,150433,12.0,3
20220225 150435,20220225,150435,12.0,1
20220225 150435,20220225,150435,12.0,1
20220225 150436,20220225,150436,12.0,2
20220225 150436,20220225,150436,12.0,2
20220225 150439,20220225,150439,12.0,1
20220225 150439,20220225,150439,12.0,1
20220225 150442,20220225,150442,12.0,1
20220225 150442,20220225,150442,12.0,1
20220225 150442,20220225,150442,12.5,1
20220225 150442,20220225,150442,12.5,1
20220225 150457,20220225,150457,12.0,1
20220225 150457,20220225,150457,12.0,1
20220225 150535,20220225,150535,12.0,14
20220225 150535,20220225,150535,12.0,10
20220225 150535,20220225,150535,12.0,4
20220225 150536,20220225,150536,12.0,13
20220225 150536,20220225,150536,12.0,13
20220225 150541,20220225,150541,12.0,2
20220225 150541,20220225,150541,12.0,2
20220225 150541,20220225,150541,12.0,2
20220225 150541,20220225,150541,12.0,2
20220225 150547,20220225,150547,12.0,1
20220225 150547,20220225,150547,12.0,1
20220225 150548,20220225,150548,11.5,48
20220225 150548,20220225,150548,11.5,20
20220225 150548,20220225,150548,11.5,28
20220225 150557,20220225,150557,11.0,30
20220225 150557,20220225,150557,11.0,26
20220225 150557,20220225,150557,11.0,4
20220225 150606,20220225,150606,11.0,1
20220225 150606,20220225,150606,11.0,1
20220225 150607,20220225,150607,11.5,1
20220225 150607,20220225,150607,11.5,1
20220225 150627,20220225,150627,11.5,2
20220225 150627,20220225,150627,11.5,2
20220225 150713,20220225,150713,11.5,1
20220225 150713,20220225,150713,11.5,1
20220225 150715,20220225,150715,11.0,1
20220225 150715,20220225,150715,11.0,1
20220225 150732,20220225,150732,11.5,1
20220225 150732,20220225,150732,11.5,1
20220225 150735,20220225,150735,11.5,1
20220225 150735,20220225,150735,11.5,1
20220225 150737,20220225,150737,11.5,2
20220225 150737,20220225,150737,11.5,2
20220225 150744,20220225,150744,11.5,1
20220225 150744,20220225,150744,11.5,1
20220225 150805,20220225,150805,12.0,4
20220225 150805,20220225,150805,12.0,4
20220225 150837,20220225,150837,11.5,2
20220225 150837,20220225,150837,11.5,1
20220225 150837,20220225,150837,11.5,1
20220225 150851,20220225,150851,11.0,1
20220225 150851,20220225,150851,11.0,1
20220225 150924,20220225,150924,11.5,1
